"name","population","area","temp","income"

"Alabama","4822023","52419","62.8","41415"
"Alaska","731449","663267","26.6","67825"
"Arizona","6553255","113998","60.3","46709"
"Arkansas","2949131","53179","60.4","38758"
"California","38041430","163695","59.4","57287"
"Colorado","5187582","104093","45.1","55387"
"Connecticut","3590347","5544","49.0","65753"
"Delaware","917092","2489","55.3","58814"
"Florida","19317568","65755","70.7","44299"
"Georgia","9919945","59425","63.5","46007"
"Hawaii","1392313","10931","70.0","61821"
"Idaho","1595728","83570","44.4","43381"
"Illinois","12875255","57914","51.8","53234"
"Indiana","6537334","36418","51.7","46438"
"Iowa","3074186","56271","47.8","49427"
"Kansas","2885905","82276","54.3","48964"
"Kentucky","4380415","40410","55.6","41141"
"Louisiana","4601893","51840","66.4","41734"
"Maine","1329192","35385","41.0","46033"
"Maryland","5884563","12407","54.2","70004"
"Massachusetts","6646144","10555","47.9","62859"
"Michigan","9883360","96716","44.4","45981"
"Minnesota","5379139","86938","41.2","56954"
"Mississippi","2984926","48431","63.4","36919"
"Missouri","6021988","69704","54.5","45247"
"Montana","1005141","147042","42.7","44222"
"Nebraska","1855525","77353","48.8","50296"
"Nevada","2758931","110560","49.9","48927"
"New Hampshire","1320718","9350","43.8","62647"
"New Jersey","8864590","8722","52.7","67458"
"New Mexico","2085538","121589","53.4","41963"
"New York","19570261","54556","45.4","55246"
"North Carolina","9752073","53818","59.0","41963"
"North Dakota","699628","70700","40.4","51704"
"Ohio","11544225","44825","50.7","45759"
"Oklahoma","3814820","69899","59.6","43225"
"Oregon","3899353","98380","48.4","46816"
"Pennsylvania","12763536","46056","48.8","50228"
"Rhode Island","1050292","1545","50.1","53636"
"South Carolina","4723723","32020","62.4","42367"
"South Dakota","833354","77353","45.2","48321"
"Tennessee","6456243","42144","57.6","41693"
"Texas","26059203","268580","64.8","41693"
"Utah","2855287","84898","48.6","55869"
"Vermont","626011","9615","42.9","52776"
"Virginia","8185867","42774","55.1","61882"
"Washington","6897012","71300","48.3","56835"
"West Virginia","1855413","24230","51.8","38482"
"Wisconsin","5726398","65498","43.1","50935"
"Wyoming","576412","97813","42.0","56322"
